name,author,year,genre,key_words,to_watch,watched
Dick Johnson nie żyje,Kirsten Johnson,2020,film dokumentalny;biograficzny;eksperymentalny;dramat,śmierć;rodzina;choroba Alzheimera;humor;relacja ojciec-córka;starość;pamięć;film osobisty,0,0
My Little Pony: Nowe pokolenie,Robert Cullen i José Luis Ucha,2021,film animowany;dla dzieci;familijny;przygodowy;fantasy,Vanessa Hudgens;Kimiko Glenn;James Marsden;Sofia Carson;Liza Koshy;Ken Jeong;Elizabeth Perkins;Jane Krakowski;Michael McKean;Phil LaMarr;kucyki pony;magia;przyjaźń;przygoda;harmonia,0,0
Sankofa,Haile Gerima,1993,dramat;film niezależny;film międzynarodowy;historyczny;społeczny,Kofi Ghanaba;Oyafunmike Ogunlano;Alexandra Duah;Nick Medley;Mutabaruka;Afemo Omilami;Reggie Carter;mzuri;niewolnictwo;Afryka;handel niewolnikami;tożsamość;walka o wolność,0,0
Gwiezdny ptak,Theodore Melfi,2021,komedia;dramat;obyczajowy,Melissa McCarthy;Chris O'Dowd;Kevin Kline;Timothy Olyphant;Daveed Diggs;Skyler Gisondo;Laura Harrier;Rosalind Chao;Kimberly Quinn;Loretta Devine;Ravi Kapoor;utrata;żałoba;miłość;małżeństwo;nadzieja;ogród;ptaki,0,0
Jestem Karl,Christian Schwochow,2021,dramat;film międzynarodowy;thriller społeczny,Luna Wedler;Jannis Niewöhner;Milan Peschel;Edin Hasanović;Anna Fialová;Marlon Boess;Victor Boccard;Fleur Geffrier;Aziz Dyab;Mélanie Fouché;Elizaveta Maximová;ekstremizm;Europa;terroryzm;manipulacja;tożsamość,0,0
Wyznania niewidzialnej dziewczyny,Bruno Garotti,2021,film dla dzieci;familijny;komedia;obyczajowy,Klara Castanho;Lucca Picon;Júlia Gomes;Marcus Bessa;Kiria Malheiros;Fernanda Concon;Gabriel Lima;Caio Cabral;Leonardo Cidade;Jade Cardozo;szkoła;nastolatki;przyjaźń;nieśmiałość;miłość;Rio de Janeiro,0,0
Najgroźniejszy człowiek Europy: Otto Skorzeny w Hiszpanii,Pedro de Echave García i Pablo Azorín Williams,2020,film dokumentalny;historyczny;wojenny;biograficzny,Otto Skorzeny;Hiszpania;druga wojna światowa;nazizm;ucieczka z Austrii;siły specjalne;faszyzm;emigracja,0,0
Intruz,Adam Salky,2021,thriller;psychologiczny;dramat;film o zbrodni,Freida Pinto;Logan Marshall-Green;Robert John Burke;Megan Elisabeth Kelly;Sarah Minnich;Hayes Hargrove;Mark Sivertsen;Brandon Fierro;Antonio Valles;Clint Obenchain;małżeństwo;włamanie;paranoja;przemoc;sekrety,0,0
Avvai Shanmughi,K.S. Ravikumar,1996,komedia;film międzynarodowy;familijny;romantyczny,Kamal Hassan;Meena;Gemini Ganesan;Heera Rajgopal;Nassar;S.P. Balasubrahmanyam;przebieranie się;ojcostwo;indyjski humor;rodzina;miłość,0,0
Go! Go! Cory Carson: Chrissy za kierownicą,Alex Woo i Stanley Moore,2021,film animowany;dla dzieci;familijny;przygodowy,Maisie Benson;Paul Killam;Kerry Gudjohnsen;AC Lim;samochody;rodzeństwo;zabawa;przygoda;miasto samochodów,0,0
Jeans,S. Shankar,1998,komedia;film międzynarodowy;romantyczny;muzyczny,Prashanth;Aishwarya Rai Bachchan;Sri Lakshmi;Nassar;bliźniacy;miłość;Indie;piosenki;Bollywood;rodzina,0,0
Kolor marzeń,Rajiv Menon,1997,komedia;film międzynarodowy;muzyczny;romantyczny;obyczajowy,Arvind Swamy;Kajol;Prabhu Deva;Nassar;S.P. Balasubrahmanyam;Girish Karnad;marzenia;muzyka;miłość;Indie;Bollywood;piosenki,0,0
